Document_Number,Posting_Date,Fiscal_Year_Period,Company_Code,Store,Cost_Center,GL_Account,GL_Account_Name,Cost_Category,Cost_Subcategory,Amount_USD,Currency
ACD-100470,2025-01-18,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,211.78,USD
ACD-100471,2025-01-18,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,154.36,USD
ACD-100472,2025-01-18,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,48.39,USD
ACD-100473,2025-01-18,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,61.31,USD
ACD-100474,2025-01-18,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,23.55,USD
ACD-100475,2025-01-18,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,20.08,USD
ACD-100476,2025-01-18,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,21.91,USD
ACD-100477,2025-01-18,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,23.97,USD
ACD-100478,2025-01-18,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,782.16,USD
ACD-100479,2025-01-18,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,198.88,USD
ACD-100480,2025-01-18,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,135.29,USD
ACD-100481,2025-01-18,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,37.24,USD
ACD-100482,2025-01-18,2025-01,CC100 - Hakam Global Coffee,University,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,42.86,USD
ACD-100483,2025-01-18,2025-01,CC100 - Hakam Global Coffee,University,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,21.11,USD
ACD-100484,2025-01-18,2025-01,CC100 - Hakam Global Coffee,University,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,20.71,USD
ACD-100485,2025-01-18,2025-01,CC100 - Hakam Global Coffee,University,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,17.61,USD
ACD-100486,2025-01-18,2025-01,CC100 - Hakam Global Coffee,University,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,23.31,USD
ACD-100487,2025-01-19,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,971.5,USD
ACD-100488,2025-01-19,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,242.78,USD
ACD-100489,2025-01-19,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,161.64,USD
ACD-100490,2025-01-19,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,50.58,USD
ACD-100491,2025-01-19,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,66.7,USD
ACD-100492,2025-01-19,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,27.85,USD
ACD-100493,2025-01-19,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,23.85,USD
ACD-100494,2025-01-19,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,13.89,USD
ACD-100495,2025-01-19,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,24.79,USD
ACD-100496,2025-01-19,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,939.75,USD
ACD-100497,2025-01-19,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,221.94,USD
ACD-100498,2025-01-19,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,145.62,USD
ACD-100499,2025-01-19,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,46.37,USD
ACD-100500,2025-01-19,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,54.69,USD
ACD-100501,2025-01-19,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,29.29,USD
ACD-100502,2025-01-19,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,14.2,USD
ACD-100503,2025-01-19,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,16.03,USD
ACD-100504,2025-01-19,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,23.74,USD
ACD-100505,2025-01-19,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,544.03,USD
ACD-100506,2025-01-19,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,133.67,USD
ACD-100507,2025-01-19,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,83.82,USD
ACD-100508,2025-01-19,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,26.78,USD
ACD-100509,2025-01-19,2025-01,CC100 - Hakam Global Coffee,University,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,43.71,USD
ACD-100510,2025-01-19,2025-01,CC100 - Hakam Global Coffee,University,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,21.42,USD
ACD-100511,2025-01-19,2025-01,CC100 - Hakam Global Coffee,University,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,14.01,USD
ACD-100512,2025-01-19,2025-01,CC100 - Hakam Global Coffee,University,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,12.61,USD
ACD-100513,2025-01-19,2025-01,CC100 - Hakam Global Coffee,University,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,21.48,USD
ACD-100514,2025-01-20,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,722.99,USD
ACD-100515,2025-01-20,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,180.81,USD
ACD-100516,2025-01-20,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,126.49,USD
ACD-100517,2025-01-20,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,32.57,USD
ACD-100518,2025-01-20,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,62.96,USD
ACD-100519,2025-01-20,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,24.61,USD
ACD-100520,2025-01-20,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,25.67,USD
ACD-100521,2025-01-20,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,27.0,USD
ACD-100522,2025-01-20,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,24.97,USD
ACD-100523,2025-01-20,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,704.71,USD
ACD-100524,2025-01-20,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,177.06,USD
ACD-100525,2025-01-20,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,119.49,USD
ACD-100526,2025-01-20,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,38.82,USD
ACD-100527,2025-01-20,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,73.59,USD
ACD-100528,2025-01-20,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,23.45,USD
ACD-100529,2025-01-20,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,14.1,USD
ACD-100530,2025-01-20,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,13.25,USD
ACD-100531,2025-01-20,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,18.7,USD
ACD-100532,2025-01-20,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,587.38,USD
ACD-100533,2025-01-20,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,142.47,USD
ACD-100534,2025-01-20,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,91.95,USD
ACD-100535,2025-01-20,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,31.71,USD
ACD-100536,2025-01-20,2025-01,CC100 - Hakam Global Coffee,University,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,57.32,USD
ACD-100537,2025-01-20,2025-01,CC100 - Hakam Global Coffee,University,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,19.01,USD
ACD-100538,2025-01-20,2025-01,CC100 - Hakam Global Coffee,University,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,18.9,USD
ACD-100539,2025-01-20,2025-01,CC100 - Hakam Global Coffee,University,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,16.61,USD
ACD-100540,2025-01-20,2025-01,CC100 - Hakam Global Coffee,University,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,15.34,USD
ACD-100541,2025-01-21,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,892.35,USD
ACD-100542,2025-01-21,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,230.75,USD
ACD-100543,2025-01-21,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,136.75,USD
ACD-100544,2025-01-21,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,36.15,USD
ACD-100545,2025-01-21,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,69.17,USD
ACD-100546,2025-01-21,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,35.27,USD
ACD-100547,2025-01-21,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,33.02,USD
ACD-100548,2025-01-21,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,18.85,USD
ACD-100549,2025-01-21,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,29.9,USD
ACD-100550,2025-01-21,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,516.53,USD
ACD-100551,2025-01-21,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,127.91,USD
ACD-100552,2025-01-21,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,87.2,USD
ACD-100553,2025-01-21,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,21.71,USD
ACD-100554,2025-01-21,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,69.52,USD
ACD-100555,2025-01-21,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,32.43,USD
ACD-100556,2025-01-21,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,22.78,USD
ACD-100557,2025-01-21,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,12.89,USD
ACD-100558,2025-01-21,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,28.56,USD
ACD-100559,2025-01-21,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,618.02,USD
ACD-100560,2025-01-21,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,144.55,USD
ACD-100561,2025-01-21,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,100.65,USD
ACD-100562,2025-01-21,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,29.3,USD
ACD-100563,2025-01-21,2025-01,CC100 - Hakam Global Coffee,University,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,52.36,USD
ACD-100564,2025-01-21,2025-01,CC100 - Hakam Global Coffee,University,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,20.99,USD
ACD-100565,2025-01-21,2025-01,CC100 - Hakam Global Coffee,University,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,21.89,USD
ACD-100566,2025-01-21,2025-01,CC100 - Hakam Global Coffee,University,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,17.31,USD
ACD-100567,2025-01-21,2025-01,CC100 - Hakam Global Coffee,University,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,15.25,USD
ACD-100568,2025-01-22,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,946.79,USD
ACD-100569,2025-01-22,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,232.36,USD
ACD-100570,2025-01-22,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,165.56,USD
ACD-100571,2025-01-22,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,51.27,USD
ACD-100572,2025-01-22,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,72.51,USD
ACD-100573,2025-01-22,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,36.19,USD
ACD-100574,2025-01-22,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,33.14,USD
ACD-100575,2025-01-22,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,17.15,USD
ACD-100576,2025-01-22,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,31.16,USD
ACD-100577,2025-01-22,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,668.01,USD
ACD-100578,2025-01-22,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,159.88,USD
ACD-100579,2025-01-22,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,108.93,USD
ACD-100580,2025-01-22,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,36.49,USD
ACD-100581,2025-01-22,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,57.92,USD
ACD-100582,2025-01-22,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,32.45,USD
ACD-100583,2025-01-22,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,26.22,USD
ACD-100584,2025-01-22,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,12.5,USD
ACD-100585,2025-01-22,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,27.39,USD
ACD-100586,2025-01-22,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,472.15,USD
ACD-100587,2025-01-22,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,112.65,USD
ACD-100588,2025-01-22,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,79.47,USD
ACD-100589,2025-01-22,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,22.46,USD
ACD-100590,2025-01-22,2025-01,CC100 - Hakam Global Coffee,University,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,43.3,USD
ACD-100591,2025-01-22,2025-01,CC100 - Hakam Global Coffee,University,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,26.8,USD
ACD-100592,2025-01-22,2025-01,CC100 - Hakam Global Coffee,University,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,13.65,USD
ACD-100593,2025-01-22,2025-01,CC100 - Hakam Global Coffee,University,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,11.52,USD
ACD-100594,2025-01-22,2025-01,CC100 - Hakam Global Coffee,University,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,21.83,USD
ACD-100595,2025-01-23,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,708.07,USD
ACD-100596,2025-01-23,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,180.71,USD
ACD-100597,2025-01-23,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,121.11,USD
ACD-100598,2025-01-23,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,32.24,USD
ACD-100599,2025-01-23,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,61.02,USD
ACD-100600,2025-01-23,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,39.66,USD
ACD-100601,2025-01-23,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,17.7,USD
ACD-100602,2025-01-23,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,23.22,USD
ACD-100603,2025-01-23,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,26.85,USD
ACD-100604,2025-01-23,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,740.11,USD
ACD-100605,2025-01-23,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,183.27,USD
ACD-100606,2025-01-23,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,125.36,USD
ACD-100607,2025-01-23,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,36.87,USD
ACD-100608,2025-01-23,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,69.99,USD
ACD-100609,2025-01-23,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,21.98,USD
ACD-100610,2025-01-23,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,17.11,USD
ACD-100611,2025-01-23,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,19.46,USD
ACD-100612,2025-01-23,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,20.77,USD
ACD-100613,2025-01-23,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,563.58,USD
ACD-100614,2025-01-23,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,134.66,USD
ACD-100615,2025-01-23,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,93.51,USD
ACD-100616,2025-01-23,2025-01,CC100 - Hakam Global Coffee,University,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,27.34,USD
ACD-100617,2025-01-23,2025-01,CC100 - Hakam Global Coffee,University,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,56.92,USD
ACD-100618,2025-01-23,2025-01,CC100 - Hakam Global Coffee,University,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,20.87,USD
ACD-100619,2025-01-23,2025-01,CC100 - Hakam Global Coffee,University,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,20.08,USD
ACD-100620,2025-01-23,2025-01,CC100 - Hakam Global Coffee,University,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,12.07,USD
ACD-100621,2025-01-23,2025-01,CC100 - Hakam Global Coffee,University,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,16.64,USD
ACD-100622,2025-01-24,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,820.46,USD
ACD-100623,2025-01-24,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,186.82,USD
ACD-100624,2025-01-24,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,520000,Direct Barista Labor & Payroll,COGS,Direct Labor,126.01,USD
ACD-100625,2025-01-24,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_BAR_01,530000,Packaging & Sustainable Cups,COGS,Packaging,41.61,USD
ACD-100626,2025-01-24,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,610000,Store Rent & Facility Lease,OPEX,Rent,81.33,USD
ACD-100627,2025-01-24,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,620000,Utilities (Power/Water/Gas),OPEX,Utilities,27.3,USD
ACD-100628,2025-01-24,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_MKT_03,640000,Digital Marketing & Channel Promo,OPEX,Marketing,20.0,USD
ACD-100629,2025-01-24,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_ADM_04,650000,Admin & IT Support Overhead,OPEX,Admin,20.04,USD
ACD-100630,2025-01-24,2025-01,CC100 - Hakam Global Coffee,Downtown,CC_FAC_02,630000,Equipment Depreciation (Espresso/Grinders),Depreciation,Depreciation,30.03,USD
ACD-100631,2025-01-24,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,410000,Gross Beverage & Food Revenue,Revenue,Revenue,1068.04,USD
ACD-100632,2025-01-24,2025-01,CC100 - Hakam Global Coffee,Corporate Park,CC_BAR_01,510000,Direct Raw Materials (Beans/Dairy/Syrup),COGS,Direct Materials,257.38,USD
